n,msno,city,bd,gender,registered_via,registration_init_time,expiration_date,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,count,discount,is_churn
36,z9yiqUquw/Ugjll0eCiMW2mNACLiF5cvKu28ED/cps4=,13,19,male,3,20131012,20170928,38,30,149,149,0,20150301,20150402,0,1,0,0
37,lhFoX5cOstRB7cD4A4462GYF6c5YBYnfAHgrnf8DFZY=,1,0,,7,20131104,20170922,41,30,149,149,1,20150903,20151003,0,1,0,0
38,sybSc+DCRG6kIEvasdTf0cOeIyt2/i17t3iLnGnLSE8=,4,24,male,7,20120310,20180426,38,410,1788,1788,0,20150223,20160408,0,1,0,0
39,FugFvf6Zow5OnLIEnclNMrsId19fUJNWyKaIRZ9rU3Q=,4,29,female,7,20120214,20170911,41,30,129,129,1,20161102,20161203,0,1,0,0
40,I9F/J6VOE2HOeIjx1SfMKB9dwSrEL7l6U3YumVAl8T4=,1,0,,7,20151107,20171006,41,30,99,99,1,20161006,20161106,0,1,0,0
41,gi3zXl+N9JIE55V4UMdHFGpURC70nHvlpViL0jfqOzc=,8,29,male,3,20150129,20170309,40,30,149,149,1,20150906,20151009,0,1,0,1
42,Ra9rStp8swadLlUXmBxjpCWGNtp2maFB9h2tJ53vFoc=,1,0,,7,20150606,20171005,41,30,149,149,1,20160705,20160805,0,1,0,0
43,+FD4doVi/2/I7I6XrwFgaCxFGRrKmvr+tLuncvC/UEE=,13,33,female,3,20130310,20170927,40,30,149,149,1,20160328,20160427,0,1,0,0
44,JaqAr5gClOr1W295g/rtk4Aund1a7LG2kVxSD/Rva+E=,22,25,male,9,20151129,20170410,39,30,149,149,1,20160731,20161010,0,1,0,0
45,htTjXTSdx9ThossOcX1lkHsWI8RcN546ZmTcdPSnORE=,1,0,,7,20130427,20170915,41,30,129,129,1,20160505,20160604,0,1,0,0
46,3Xnv1TeJQkCwhvc0xTrcXSfMJTXcdoL7UXxY8omHerQ=,1,0,,7,20151021,20170920,41,30,99,99,1,20151220,20160120,0,1,0,0
47,VpPFqGqqMqGCSIC6hEhGYLRvkvbJ59RYx/h0bTXRk2g=,1,0,,7,20141008,20171006,41,30,149,149,1,20150809,20150909,0,1,0,0
48,qShZjy8glSMojjb8E2OMWrxxfDt3+DLjJmihyKV0jSI=,13,32,female,9,20040529,20170918,37,30,149,149,1,20160915,20161018,0,1,0,0
49,c6E22skOo5vwiHKsT1SClUGmZbQyGnoymEmTw12qYUY=,13,35,male,9,20100923,20170917,20,100,480,480,0,20160115,20160424,0,1,0,1
50,22Ki9N1ODFlJMiZaAi91MDO0R4eDL4AecAjKfGFWDwA=,1,0,,7,20160116,20170915,41,30,149,149,1,20170215,20170315,0,1,0,0
51,6Ac4l4WeHLNOb+H+NDYHuB++DqvgVYLiHEnOaD3wOHw=,1,0,,7,20150722,20170922,41,30,99,99,1,20160822,20160922,0,1,0,0
52,cf/CXzFaT0Dxn3XMzSXIUk60p/LR0y1pDaXHJbLsAds=,15,0,,7,20111018,20180601,41,30,99,99,1,20160630,20160731,0,1,0,0
53,k7z3xjwJSHsO9V+0kwOBO/ybW8rSFaLIQ1n/ScfAaUw=,5,51,male,9,20060825,20170930,34,0,0,149,1,20150930,20151031,0,1,0,0
54,WNfCAbvOG/RBNqVmDhv8VUKo4oo7Y74X0uidZW72JnU=,22,33,male,9,20070611,20170930,33,30,149,149,1,20170131,20170228,0,1,0,0
55,grRIB8t8xFphzuZq4eUBXIEYGMU/r1gmxFfgnwW3ndY=,13,49,male,9,20060208,20170930,34,30,149,149,1,20170131,20170228,0,1,0,0
56,OoD3tq0sxfzgJiNSqbzVU06HNpF2LVmsKpvU6hvZlGo=,1,0,,7,20131105,20160325,41,30,149,149,1,20150904,20170222,0,1,0,1
57,UjKF9blm8fl7Jo5KhuZx/x4FOqk2BD4+5/3dgpVwb9U=,13,0,,7,20130723,20170909,41,30,149,149,1,20150622,20150722,0,1,0,0
58,LF455io8AX+/u2gxxZxNmotlVLGPqXhd3XXnVPNpMn4=,13,30,female,9,20070717,20171020,39,30,149,149,1,20161130,20170120,0,1,0,0
59,NFBeIqERR703TG8cy4vZ2ylvW+2BBVINw9stM+mxSKI=,1,0,,7,20150806,20171005,41,30,278,258,1,20161003,20160205,0,2,20,0
60,SMehkr5D4l5kAh8PRlgETIehib0nvf15l/VIKLCAB2A=,15,39,female,9,20120208,20171025,39,30,149,149,1,20161126,20161225,0,1,0,0
61,2HbzlEFrd+w4qbBEGuDd+A2MXWmuhNcOAeq3wYe/W40=,17,36,female,9,20120822,20170930,14,30,149,149,1,20151231,20160131,0,1,0,0
62,EY2lGacAf7zyN3m+8P0J1pDUkhgspGKVjShgn9qHv+Y=,1,0,,7,20131112,20171005,41,30,99,99,1,20160705,20160805,0,1,0,0
63,xUw7KsXXaMEOOXok6GpIzILhmgeWX4X5J8p++NlHbxw=,15,27,female,9,20080413,20170913,40,31,149,149,1,20150413,20150512,0,1,0,0
64,BKtPCIcW4kAf3ThASh/Kdn5h3WgfNmgsqd14iBnpPko=,1,0,,7,20160206,20171006,41,30,198,198,1,20170206,20170106,0,2,0,0
65,L2XAXzAYqwWbuwYe8o/zYbfN2HMyxwffgmzZNyCVklU=,1,0,,7,20150518,20170929,41,30,149,149,1,20150718,20150818,0,1,0,0
66,WsD/FSJxJZvrvLXz/hrmJvf0ZJpnafh18dsla3b8MpU=,1,0,,7,20110920,20170920,41,30,149,149,1,20161019,20161120,0,1,0,0
67,d1AehbW6U5GptPA6ypQq/gAKzyiGTQ54gCFep6jpVr0=,1,0,,7,20121116,20171005,41,30,129,129,1,20150708,20150808,0,1,0,0
68,HiejG4cxrEpeDO7MttwxDETSyGiq7yoolMAiFBVVp8U=,4,28,male,9,20040821,20170930,34,0,0,149,1,20150630,20150731,0,1,0,0
69,neLwKe3HKlXzlo6Fo203arwh4UXmNv9AYxUFLpFheRo=,1,0,,7,20101016,20170925,41,0,0,119,1,20150424,20150525,0,1,0,0
70,MK6jJ/+XpbC823QXJW6VuRnUKLXL//M1kZa3RgYONBU=,22,20,female,7,20140813,20170912,41,30,149,149,1,20151112,20151212,0,1,0,0
71,XVaxxGgSOYF3jJmDMrn+z6WC23n4m3FeLB13VK92KaQ=,1,0,,7,20140218,20170921,41,30,99,99,1,20151221,20160121,0,1,0,0
72,53fidU6rvY0EpRST/aUUjQnJ79nuZV7Px+VIfqEKcAw=,13,22,female,9,20131014,20171016,39,31,149,149,1,20150228,20150416,0,1,0,0
73,sN03aWPheMG1mbMtX5YieWCf1e5gY8MykFWPMyCiB/8=,1,0,,7,20141227,20170920,41,30,149,149,1,20160926,20161026,0,1,0,0
74,TA4ez93E/WYJkA4C4I5tyIeVz93F9piE7gGgt/d12xo=,8,27,female,9,20110309,20170922,40,30,149,149,1,20170223,20170322,0,1,0,0
75,zqUnQWR2jrFdYAV6nCx11aKlMh4g1okaXmw5De7AXXc=,15,51,male,9,20080905,20170930,40,31,298,298,1,20160731,20150217,0,2,0,0
76,ROmih49AWmZnX5qCFxgXS4mXWSvIyYCYAb6EwjsAzKg=,1,0,,7,20100729,20170908,41,30,149,149,1,20150225,20150326,0,1,0,0
77,V2pLAoX+crHk/BLGJbHzGsyD9qlJc13IZpRjeKcc+/g=,9,27,male,7,20130911,20171004,41,30,149,149,1,20151110,20151210,0,1,0,0
78,sKBpr0ZtVmmZd+kTcq0jJprxes41/CtvLBFlK46wnjw=,1,0,,7,20150907,20171006,41,30,99,99,1,20160206,20160306,0,1,0,0
79,upO/w+JNw25xYFSeInqFWCESJusthLyGYe0Hbyo6fv0=,1,0,,7,20100917,20170909,41,30,149,119,1,20150131,20150725,0,1,30,0
80,cKSRGLvLNZ8tYUGORrN65gKvVVJPB9HqgJ/XIDHhmJk=,4,22,female,7,20150729,20170725,41,30,99,99,1,20161031,20161130,0,1,0,0
81,ZazXaHQ//fIYg+29YARLPoirnyN4Mwn6TDMcBMbjxsE=,1,0,,7,20150103,20171002,41,30,149,149,1,20160602,20160702,0,1,0,0
82,NxObdMwkWPWkMwB38jQn/xsPFMG2IQ/GX6+OaFlFkiQ=,5,36,male,9,20110226,20170926,40,30,149,149,1,20150618,20150726,0,1,0,0
83,C2B5XUsTi8FCFfiHSMKf5nquWU48KdqE5BJ2+vrgSWA=,1,0,,9,20150124,20170910,38,30,149,149,0,20170102,20170204,0,1,0,0
84,/sw6hg3gBoZ33qkO+PVg1aGKsZ3lJ1bZGpup3yyz67k=,1,0,,7,20151031,20170930,41,30,99,99,1,20161031,20161130,0,1,0,0
85,y+wchksJ7xzRaMPuX5y6TeTarUWvs9p2RRiO/S8LSlY=,1,0,,7,20110128,20171003,41,30,129,129,1,20160927,20161028,0,1,0,0
86,vAq6Rvc54E0/rMExN6G/h61YLLhLXdpXkrCkhHCak78=,1,0,,7,20110413,20170920,41,30,129,129,1,20161212,20170113,0,1,0,0
87,3QsNIrYhHisL94smi4Mor/XmSmAX7z7NBP2ygjwGPRU=,13,0,,7,20100401,20171006,40,30,149,149,1,20160507,20160606,0,1,0,0
88,cz2L30PbzVbT27fLGzdbds8q0zRFR8ZKVbSSeWUWzn0=,5,64,male,9,20091123,20170930,31,30,149,149,1,20160430,20160531,0,1,0,0
89,+PK/zbb/JnE9Lo0YZu9wSYPY0IxP2CYefEsdJ5fONFs=,15,22,female,7,20141222,20171006,41,30,149,149,1,20161214,20161214,1,1,0,0
90,c7lAJQf3wYbQrwkdAAGU9s0YcOCyKbmJfHxa6LQtfJo=,1,0,,7,20130328,20171006,41,30,149,149,1,20160621,20160721,0,1,0,0
91,2wgcr0XRsJO2cirMqupUZokJC2Aol9Q7dBJ4+F5Ed4A=,1,0,,7,20120320,20171008,41,30,129,129,1,20150607,20150708,0,1,0,0
92,ZMuJDnAEV+ft7v+pSO0teUSNx90jkGd6gJNJontG6V0=,4,36,male,9,20071107,20171010,36,30,150,150,0,20160121,20160220,0,1,0,0
93,mBITVVG7e67+2x6iAlqIYeR4x06JmU1spY2zE2rRclU=,1,0,,7,20110313,20170914,41,30,129,129,1,20151018,20151119,0,1,0,0
94,g+klO1WGqLf2mA47tFRZ7C19sX09CThZXTBo8ez8zt8=,1,0,,7,20160203,20171003,41,30,99,99,1,20161103,20161203,0,1,0,0
95,mjnD/Qc5fRepIKG1z4fWLwAUP7yOGaAxqsPeV61EFgc=,1,0,,7,20120210,20171005,41,30,298,298,1,20170109,20151110,0,2,0,0
96,LwpE+aYcMuvSLxfWJXIVCSnxmO8ajLmaD36wzkyRT1M=,13,28,male,9,20111113,20170930,33,0,0,149,1,20151031,20151130,0,1,0,0
97,YYRpZb7q91l+rWmpgryDboSdop6i9ImgVwBxATsZlOo=,22,36,male,9,20110114,20170930,34,30,149,149,1,20160430,20160531,0,1,0,0
98,UOVdxfefNuAFU7iq0fSAdU4FP44YWg1pRl2qdGy/vAY=,1,0,,7,20151210,20170604,41,30,149,149,1,20170210,20170310,0,1,0,0
99,wmnJwn4oG4HQzr3ypvDls+ifrG72lpnzOdAYYf60zAM=,5,0,,3,20130123,20170808,36,30,150,150,0,20151218,20160117,0,1,0,0
100,rbITeo6UAMWA2+j/qQJO6M3Q79Riu/bspVxbgC2IzCQ=,1,0,,7,20130225,20170930,41,30,129,129,1,20160930,20161031,0,1,0,0
101,kxok+Sg5zk7yRtnyADtqg49/32AMoyfi2BTuyX9eutw=,13,31,female,7,20110912,20171002,41,30,99,99,1,20170202,20170302,0,1,0,0
102,ms8ToszxWT5m2AYtiEtWc3zUUo3FJw8HstPgljqITQ4=,10,29,female,3,20140215,20170926,40,30,149,149,1,20150827,20150926,0,1,0,0
103,AvvAXOkn+XdX5hi5WfXVS1g2YzV6nAvZxd2PzQlucp8=,1,43,female,7,20110921,20170917,41,30,149,149,1,20150912,20151013,0,1,0,0
104,cOdyipYPPIxUuv2QRi5UXOtHNv1muDA3GHOUegdGnMo=,1,0,,7,20120606,20171006,41,30,149,149,1,20160905,20161006,0,1,0,0
105,trkAfTyKaULTzmrPXoI1gsAqMoUp/2CUDaObCHnJYag=,1,0,,9,20160423,20170821,30,30,149,149,1,20161123,20161222,0,1,0,0
106,oZXvLhKxtWLoiRHFAgy2quq70U8FpDgWyj1GMEotEHk=,1,0,,7,20131215,20170930,41,30,248,298,1,20151026,20160813,0,2,0,0
107,924aMHfQ1OL6dobMqzMYNLaaJywLaRK/qH36bgkkGJA=,17,0,,9,20141010,20170915,40,31,149,149,1,20150113,20150212,0,1,0,0
108,JNhpelVoy1hKg3I2QWudPyl/w9JmflJDX9OZVojsGGw=,11,0,,3,20130724,20170907,20,100,480,480,0,20160724,20161101,0,1,0,1
109,i/qmnRFJ+0LAie2h04XcQuBIp/KxKUqK4b1lMG1GHIo=,1,0,,7,20110330,20171001,41,30,129,129,1,20151231,20160201,0,1,0,0
110,Iq2jrL3svznmev3UzvCiHGGo9OY9CSzrE55tNBrrkRo=,1,0,,7,20160924,20170924,41,30,99,99,1,20161224,20170124,0,1,0,0
111,+zR/YMEx2zdLc9GmA1gQR214gy2Rxq7ulcpU3+rF7T8=,5,33,female,7,20110605,20171005,41,30,149,119,1,20150104,20150908,0,1,30,0
112,+fl+mn0bw7V4bMHBbxsd1/oMdCyijs9wag99U8E0hik=,5,38,female,7,20120105,20170913,41,0,0,149,1,20150504,20150605,0,1,0,0
113,uRB214BokFzO/y2EZxL4tuO7U78mN+GeByzDtt6xkPs=,3,29,female,3,20120618,20170924,36,30,180,180,1,20160912,20160911,1,1,0,0
114,25fXmHRVN8VnPexmUQHOQY2lc8DJZ56LK0glLM6aqgQ=,13,24,female,9,20100620,20170910,37,30,149,149,1,20160831,20160930,0,1,0,0
115,u3a/uEpq1Z0NMFo3DCcwjiS/RvVQjR+yq4DiUSeAD4I=,15,0,,9,20150803,20171014,39,30,149,149,1,20151102,20151214,0,1,0,0
116,+dhrK6Aj3+ZJHFRBNhnlYRKp69OHbTHJjh/ItwIetZk=,1,0,,9,20150621,20170912,30,30,149,149,1,20161113,20161212,0,1,0,0
117,lyQ8lbfgpyoD3JpDF7NfzXOun5aCneP4eE/Eo4clPgU=,22,23,male,3,20130604,20170919,38,30,149,149,0,20151018,20151117,0,1,0,0
118,/YFg47Psg7qC3FWvhPWQD+43uscbHx1iISGh/RKEP2I=,13,33,male,9,20071217,20170930,31,30,149,149,1,20160331,20160430,0,1,0,0
119,TYPmGcos49kkzD2GVVFRftuVzjaDC0sMOIJLu1bdT/k=,5,44,female,9,20071205,20170704,36,30,150,150,0,20151202,20160101,0,1,0,0
120,oHx4muu1XPIsQspQbhNFqH8dCS9uvFwTryjcT5PPaeI=,22,17,female,4,20160514,20171002,38,30,149,149,0,20170106,20170205,0,1,0,0
121,wi74sQNLdCiXnzhOFSmoPbhGyoNa3FYk7LG+76F4Oh0=,6,36,male,9,20150816,20170918,39,30,149,149,1,20160731,20160918,0,1,0,0
122,2JSEvTpzX5Oqj1gVHOMLKTs+Kk7OrXWsTQEmoBybevE=,1,0,,7,20130914,20170917,41,30,149,119,1,20150712,20160512,0,1,30,0
123,1DE//O9jQrCdsZYE/jQ410/E2O9RKW32gj80lQ01xJg=,1,0,,7,20150111,20171004,41,30,99,99,1,20170104,20170204,0,1,0,0
124,gCH5sYWjHANe/XrdOtBojbWnAWz0ZOAZgpAZnHgyAXk=,1,0,,7,20120807,20170923,41,30,198,198,1,20160623,20160623,0,2,0,0
125,mWLBR4bQyM2/ijd8s49oP3dz/TBGRLTWr3AVuHNb8lY=,1,0,,7,20130617,20170916,41,30,149,149,1,20160516,20160616,0,1,0,0
126,+VptyNzy+ZaRqpr2PbT4IEWzHaE2ES28Kv+g+Q5tRlM=,1,0,,7,20120331,20170930,41,30,149,149,1,20160831,20160930,0,1,0,0
127,2phAuiPvLzNChOyXN/9i680/BJDJ313WVqu9FZgWnTM=,1,0,,7,20151127,20170930,41,30,99,99,1,20151226,20160126,0,1,0,0
128,Zh9lIqW6q6WRwuCuBr6FMXW1LsfvS5UkCkbwICzRL30=,1,0,,7,20151121,20170920,41,30,99,99,1,20160420,20160520,0,1,0,0
129,PSAPuyB9M2D2s1vkYz7sAGGolQQYhbfFPQ0Dy4rDYMo=,11,32,male,9,20050908,20170913,36,30,150,150,0,20160203,20160304,0,1,0,0
130,AIcYbqOk1+GRjxHwPbcJQy35LV1EquXlQVsp0fZpKxA=,1,0,,7,20130204,20170918,41,30,100,100,1,20161118,20161218,0,1,0,0
131,REyQJsmv/H+b1HCtgu2gJizysz/5me56q18TTeJv5KA=,21,17,female,9,20141130,20170910,38,30,149,149,0,20160707,20160806,0,1,0,0
132,lNUH0TnHGk7efakE0xG6D+c0K1Kii/bf8qHjcWkFH0o=,5,20,female,9,20110713,20170625,37,31,149,149,1,20150125,20150225,0,1,0,0
133,N/xYiqSFGcAU3xX1sSCY+nKJVXL7DHtcUCDxVJ8Wp4s=,9,23,male,7,20130817,20170916,41,30,149,149,1,20161116,20161216,0,1,0,0
134,Ig6xuggfNBTFxBIp4O0e+6yVqL6L4HD8yPktO6mlq9Q=,15,26,female,3,20130311,20170818,38,30,149,149,0,20170123,20170222,0,1,0,1
135,JK43z6Kdib3iNfV20aGatAsY/+/+0fpoMM6jtCQN9Tg=,22,22,female,7,20151111,20170911,41,30,99,99,1,20160111,20160211,0,1,0,0
136,YHF90TEXko898Z6ZsyU6RL/eT4OPM+byQfE6tKs3PAw=,1,0,,7,20160712,20170912,41,30,99,99,1,20160713,20160812,0,1,0,0
137,+gQ7FXnSvq6g/yKr/gSfcAiuCej7hTKZFAJU9lW4rNE=,12,27,male,7,20120413,20170930,41,30,129,129,1,20150916,20151017,0,1,0,0
138,sC4Fm2VqNN6Lb0U+GAtaE/2NK1sCtSdzpRgwGZL2DdY=,15,51,female,7,20111112,20171005,41,30,298,298,1,20170105,20151203,0,2,0,0
139,VlbX7irabNvtHbdSeUCiAaEHcsa1Fn+1nYpsYkpJuJg=,5,29,male,9,20120111,20170930,31,0,0,149,1,20150930,20151031,0,1,0,0
140,WEBxiFnJmJm2H/mbrtUAHoiJ9b7Wk63Fjl2u986S6S8=,1,0,,7,20140203,20170919,41,30,99,99,1,20160819,20160919,0,1,0,0
141,QTHn8OYFCJkXT6MWwRzemdSp50vbYxUnkRB748WQJk0=,13,33,female,9,20090531,20170930,33,0,0,149,1,20150930,20151031,0,1,0,0
142,8PdAZ+WMne5IHYoarJwGV7cLkiZgZvsy8KR2GCHGgck=,5,43,female,9,20050831,20170809,34,30,149,149,1,20161031,20161130,0,1,0,0
143,88gcC3+7ANbMkK63ImYnQs4nb5jHRqQgxo5TirIQZ9Y=,1,0,,7,20150902,20170707,41,30,99,99,1,20161201,20170101,0,1,0,0
144,buK1ntQE2KdvrhWn/nUPvUv2uygN+ZYYxgWt5TQrlSw=,13,26,female,9,20080811,20170927,37,30,149,149,1,20160627,20160727,0,1,0,0
145,kERkeKIi24LKZvKh3FCHHuD5TSF5VrvAytKZmksdUBQ=,1,0,,7,20150308,20170602,41,30,129,129,1,20150407,20150507,0,1,0,0
146,A967+CeNi+hnK6rA7/Xfg0x/tE13SLh0sAhxMa8WUQk=,1,0,,7,20150807,20171002,41,30,99,99,1,20150807,20150907,0,1,0,0
147,f8wX499J9+1KoLQMcSoxkQq+E1cgILFLvLlykSHOlX8=,9,26,female,9,20101209,20170927,37,30,149,149,1,20160627,20160727,0,1,0,0
148,hpyRk3QtBrH5wIvbxUkGKCyoy4gjvXWLCuKQl4FuZgI=,22,31,female,7,20150423,20170930,41,30,149,149,1,20160801,20160901,0,1,0,0
149,NE+jdORNBYCKR9xo+TNptpDx2TlRajNS46GuTpxPSCw=,13,22,female,9,20150512,20170913,37,30,149,149,1,20160614,20160713,0,1,0,0
150,1p9qSvLmCJb37BSGnczsvcIvmFD3siHMuUqsSwLFVHo=,5,28,female,9,20051026,20171016,39,30,149,149,1,20150630,20150816,0,1,0,0
151,rjz+4BXypWf6AufCVKB4d/KdKArtRmjLGfzH/vWsLi0=,1,0,,7,20110214,20170908,41,30,149,149,1,20160921,20161021,0,1,0,0
152,+LuwO4y6PleZn8vpgH9oPdB+QGV5oyMZBuI6MQU5EKA=,14,47,male,7,20111228,20170911,41,30,149,149,1,20160727,20160828,0,1,0,0
153,urfuYDZBAmWUcZlLmRQ2CbEmyZhXJLL7dmBIzQMVCXY=,1,0,,4,20160801,20171001,38,120,477,477,0,20161006,20170203,0,1,0,0
154,4uxtf0gEWZSSFF9ZEFL4QkYymRocGZ/YcZcZEGxE/N8=,6,34,female,9,20051030,20171005,37,30,149,149,1,20151001,20151031,0,1,0,0
155,62qHuQ8ddgBLFGwtLkyWeWMiIGlhAo/MTdWkFl7ePIs=,1,0,,7,20121006,20171007,41,30,149,149,1,20161206,20170107,0,1,0,0
156,Z7p7Db9PB/ChIYfIFJZhiBlgGVyAaFcF4aXLg1J4mH4=,1,0,,7,20120107,20171007,41,30,149,149,1,20150306,20150407,0,1,0,0
157,+OQ8X0rnnrPOUvtABzE+MRE9zqSjTzSrI42qawMQ2uU=,14,32,male,9,20070715,20170930,34,30,149,149,1,20160531,20160630,0,1,0,0
158,D85MU9mtOgXE1n4eidwqPrjS+3EcNrKbHkL+/6Pd/Nc=,1,0,,7,20131112,20160313,41,30,119,119,1,20151115,20161210,0,1,0,1
